Mixture,B cells naive,B cells memory,Plasma cells,T cells CD8,T cells CD4 naive,T cells CD4 memory resting,T cells CD4 memory activated,T cells follicular helper,T cells gamma delta,T cells regulatory (Tregs),NK cells resting,NK cells activated,Monocytes,Macrophages M0,Macrophages M1,Macrophages M2,Dendritic cells resting,Dendritic cells activated,Mast cells resting,Mast cells activated,Eosinophils,Blood neutrophil,V neutrophil,P-value,Correlation,RMSE
X237L.Vneut,0,0.0111754596466216,0,0.0155769466620697,0,0.0261366635849,0,0.0213467949092533,0,0,0,0.0293612607530851,0,0,0.00291628197837741,0.00207600398326773,0.00616892984152143,0.00402505212129096,0,0.0982365350999714,0.00576675009693369,0,0.777213321322708,0,0.546662699175283,0.982196939870068
X237L.Bldneut,0,0.0282461072648874,0,0,0.00140808246145112,0,0.00575535574227303,0.0192432664650525,0,0,0.0206412791564075,0,0,0,0.00307561101544109,0,0,0,0.00338946988186082,0.00202123816663323,0.0480053835502264,0.868214206295767,0,0,0.797462059601614,0.617270604927253
X244L.Vneut,0,0.000256616456739764,0.000118174020759608,0,0,0,0.00908560610578088,0.00888345878282666,0,0,0.0279326566275273,0,0.00790891213746006,0.0031629208114884,0,0,0,0,0.0252618433375708,0,0,0,0.917389811719846,0,0.745662627969728,0.818452595589528
X244L.Bldneut,0,0.00807831954817603,0,0.0901366671527957,0,0,0.00159237201769829,0.0181466815046604,0,0,0.0221921013490407,0,0,0,0,0,0,0,0.00831085681436485,0,0,0.851543001613264,0,0,0.8101157033776,0.592266173290834
X253L.Vneut,0,0.00917178709337102,0,0.0227220346774401,0,0,0,0.0173833015234503,0,0,0,0.0078596909899219,0,0.00270820570166342,0.00769861828830027,0,0,0,0.0417117078336276,0,0,0,0.890744653892225,0,0.741815142953744,0.802836184981345
X253L.Bldneut,0.00360613085935158,0.000869187474111425,0.000218200079129179,0.0398521895027178,0,0,0.00607148557406525,0.0127156234992942,0,0,0.0195886880465119,0.00625122722871211,0.036938850477323,0,0.00240333524260449,0.00262635742528327,0.0137282569532204,0.00507845157203366,0.00126182235058964,0,0,0.84020673914724,0.00858345456781181,0,0.857141981974443,0.518985729298093
X270L.Vneut,0.0135138291235117,0,0.0109912578420802,0.00788045668788768,0,0,0.0338339389548321,0,0,0.0224309079019828,0.0706462256482476,0,0,0,0.00116639458661233,0.00169055410761282,0,0,0,0.0421232242760184,0,0.136228548379516,0.659494662491698,0,0.603765995061654,0.889687721991713
X270L.Bldneut,0,0,0,0.00159590379803418,0,0,0.0111842219118939,0.0185484498051238,0,0,0.0109031639009155,0,0.00646720099408574,0,0.00438519418514723,0,0,0,0.0114441595575028,0,0,0.935471705847297,0,0,0.844438624574228,0.552417361486967
X131_V.Neut,0,0.0231674473875829,0,0.0046444347693204,0.00588755156417575,0.0050208538042814,0.000552862246932596,0,0,0,0,0.0238139695541249,0,0.00381092000567923,0,0.00589906043975913,0.0188055809693362,0.00500951265761832,0.00933167405919873,0,0,0,0.89405613254199,0,0.788106514121152,0.733674085333118
X131_Bld.Neut,0,0,0,0.0814412716238545,0,0.0536037959982273,0,0,0,0,0,0.0238230661911647,0,0,0,0.00305582593578603,0.00216688634160972,0.00157186733621347,0,0,0.012352605231512,0.821984681341632,0,0,0.768051473557749,0.64776129118733
X132_V.Neut,0,0.0117411935342738,0.00268078174103576,0,0,0,0.0129928572147791,0.00205574096441204,0.00179729137904019,0,0.014875402423915,0,0,0,0,0.000180569920875111,0.0105776006463462,0.00342715564789355,0.0233354563509322,0,0,0,0.916335950176497,0,0.695284312854731,0.885927869436868
X132_Bld.Neut,0,0.00674377000161164,0,0.0301779663907099,0,0.0305551442154782,0,0,0,0.00054384097579485,0.0121393714243074,0.024274891637642,0.0467430266840107,0.00510503601667813,0,0.00523260938481828,0.000199713715334247,0.000399010080784884,0,0,0,0.748233779871238,0.0896518396015915,0,0.783644563688592,0.633017178127538
X135_V.Neut,0,0.00661797292290591,0,0.0402559596124031,0,0.0355330269818545,0,0,0,0,0.0193027654791577,0.0068825098123478,0,0.00406471026152208,0.000605823416964918,0.001416948521275,0.00452587412595615,0,0.0178744868977173,0,0,0.157479615337779,0.705440306630116,0,0.895756575792153,0.479817701002478
X135_Bld.Neut,0.00660236556083081,0,0,0.0756587009382815,0,0.101430958749927,0,0,0,0,0.00882994282262594,0.024076691683648,0,0.00696487293600394,0,0.0014552251363108,0.00384996658019228,0,0.00139438884379301,0,0.00228127533077307,0.767455611417614,0,0,0.802570143718427,0.596988486643805
X136_V.Neut,0,0.0124768810543023,0.00171169250877866,0.0062612368967524,0,0,0.012041099269141,0.00716055196438818,0.0057034080780962,0,0,0.0191787625253227,0,0.00158043508321811,0,0.00459839258197559,0.0146245650703774,0.00496729757907492,0.0460981777569126,0,0,0,0.86359749963166,0,0.665922767967094,0.887862783198927
X136.Bld.Neut,0,0.0101379756695946,0.00141666960726647,0,0.0493720179844567,0.00973816797356245,0,0,0.00708581693252508,0.00587659416757828,0,0.0437339129157583,0,0,0,0.00543173178331691,0.00625930078343543,0.00360166403443483,0.0115131427073532,0,0,0.771524366319651,0.0743086391210662,0,0.800467247389524,0.605798381821554
X138L_V.Neut,0,0.0244038886199162,0,0.00787705541007047,0,0.00333509614757382,0.00421560134294441,0,0.00765507299196903,0,0,0.0144805341324041,0,0,0.00326557044963269,4.25327952620047e-05,0.0132186256833689,0,0,0.0024466384600369,0,0,0.919059383966821,0,0.764793112855062,0.787193053875289
X138L_Bld.Neut,0,0,0.00328030345868512,0.0262052132401101,0,0,0,0,0,0,0,0.00839276191127272,0,0.00129262044207135,0,0.00129722747639852,0,0,0.000886846724334542,0,0,0.905004627764832,0.0536403989822962,0,0.750443673417328,0.703213010167708
X139L_V.Neut,0,0.00554340796628613,0,0,0,0.00712258194391244,0.0219816027834801,0,0,0,0.0527622518185786,0,0,0,0,0,0.0185707577495877,0,0.0308305791983571,0,0,0,0.863188818539798,0,0.80482658209598,0.688205589785335
X139L_Bld.Neut,0,0.0189629095476485,0,0.0242710058934539,0,0.0353875474401811,0,0,0,0,0.0116451015559055,0.0428930594094229,0.0113854527559125,0.00196994654978439,0,0.00405694288641473,0.0077487146118268,0,0.0109099970516016,0,0.00194281679549285,0.754917270087923,0.0739092354144317,0,0.706688775377411,0.727200241500718
X141_V.Neut,0,0.0215156431215624,0.00311731045774707,0,0.0143876087076586,0,0.0174710950263911,0,0.0118829879400308,0,0.0160845120291012,0,0,0.00541905650246262,0,0,0.0134610607453998,0.00562286704730548,0.017271558411003,0,0,0,0.873766300011338,0,0.697759820190001,0.852148476197343
X141_Bld.Neut,0,0.00578273018743855,0,0,0.0127727228313167,0.015706810786593,0,0,0.00248555131385643,0.00839462594208304,0,0.0437967045251282,0,0.00597115988782381,0,0.00213664910958597,0.00228655727442391,0,0.0215326848613518,0,0,0.821894244389698,0.0572395588907008,0,0.779650117761066,0.641655542525695
X143_V.Neut,0,0.00980149126766569,0.00293157238272335,0,0.0206397605368602,0.00664536575407135,0.00839830333774186,0.00233136303398766,0,0,0.00373349790250923,0.0136600178894213,0,0,0,0.0220125900884519,0.038789677059691,0.00197149830289253,0.0452718753020807,0,0.00691544732336602,0,0.816897539818537,0,0.663842174329649,0.862039574918853
X143_Bld.Neut,0,0.0164043169652129,0,0,0.0316246610339578,0.0419682830788501,0,0,0.000116394448501416,0.00630520631141433,0,0.0337361756018557,0,0,0,0.00151165152655764,0.00505633021897982,0.00141518881087169,0.0194674510888722,0,0,0.7852115518088,0.0571827891061261,0,0.811335163469104,0.589066511915936
X146_V.Neut,0,0.0317263863837874,0,0.0215298521890677,0,0,0.00993422214081223,0,0.00327425601420765,0,0,0.00156728532934175,0,0,0,0.00230597973131233,0.0117253451230904,0.00521365647703217,0,0.0128614917651773,0,0,0.899861524846171,0,0.68925768359081,0.881630143477222
X146_Bld.Neut,0.0144728624532119,0,0.000128467668757515,0.0103387267179191,0,0.0190247631125958,0,0,0,0.00352305296706692,0,0.0228418363700923,0.00308869583960908,0,0,0.00134532165318744,0.000455676150229235,0.00116309671514912,0,0,0.0120318523170178,0.852606421099233,0.0589792269359311,0,0.80736336222287,0.60775672790818
X149_V.Neut,0,0.0060040052215502,0,0,0.00423340008521422,0,0.00886434110115331,0,0.00303643801248899,0,0.0057914433122265,0,0,0,0.00159301589690463,0.00139079358286523,0.0158668411021894,0.00871762337941672,0,0.0152856504796076,0,0,0.929216447826383,0,0.811863079029715,0.721750764532676
X149_Bld.Neut,0,0.0191707648303131,0,0.184889199757656,0,0.0328343106204903,0,0,0,0,0,0.0394441609221034,0,0.00572565877019835,0,0.0019691658176679,0.00160061356489235,0.0057793344479223,0.0163426875545785,0,0.0260556121725841,0.666188491541593,0,0,0.739064101569438,0.673830447580424
X154_V.Neut,0,0.018535463954194,0,0,0,0.0101719596867929,0.00469968929131735,0,0.00275718904135257,0,0.00887265625959477,0,0,0,0.004195233577594,0,0.00444824021910872,0.0079813197687641,0,0.0155990916358672,0,0,0.922739156565414,0,0.767791668639982,0.787571574369939
X154_Bld.Neut,0,0.0227548573450671,0,0.0636200099332006,0,0,0,0,0,0.020716480911813,0,0.0310384233399408,0,0.00550305152476324,0.00282385949099284,3.94758723344092e-05,0.00951237483100857,0.0085048311432483,0.0258496456637365,0,0.0087872646399058,0.799369855084223,0.00147987021976599,0,0.847408797608276,0.532008875396286
