Input Sample,B cells naive,B cells memory,Plasma cells,T cells CD8,T cells CD4 naive,T cells CD4 memory resting,T cells CD4 memory activated,T cells follicular helper,T cells gamma delta,T cells regulatory (Tregs),NK cells resting,NK cells activated,Monocytes,Macrophages M0,Macrophages M1,Macrophages M2,Dendritic cells resting,Dendritic cells activated,Mast cells resting,Mast cells activated,Eosinophils,Blood neutrophil,V neutrophil,P-value,Pearson Correlation,RMSE
GSM737030,0.03146614487770113,0,0.011846752488214306,0,0.0707910954016506,0.0929627850325676,0,0,0,0,0,0.08860223784961883,0.01807899742080178,0,0.01059205544183494,0.1902819285451933,0.02721539228890116,0.00686690695310648,0.17101688806617046,0,0.01778886804316842,0,0.2624899475910709,0,0.17945280467690802,1.051419237918423
GSM737031,0.021420562657495118,0,0.03581711619529979,0.027198354927357685,0.048839479017432984,0.022341412798983697,0,0,0,0,0.022931411604027393,0.002500736053099213,0.030644692080361014,0,0.008987561229248788,0.4793436929677228,0.022810434814255636,0.0010940169698361525,0.1831425800656531,0,0.010721124239226163,0,0.08220682438000049,0,0.2745697381650235,1.075005308458308
GSM737021,0.005942860924050874,0,0.010460590195240057,0,0.07016974419102696,0.08245399273392695,0,0,0.011837999031610763,0,0,0.053282771652161276,0,0,0.0042968001554149204,0.48181312212698224,0.03301633838922763,0,0.20370839588482897,0,0.0006,0,0.04242837424259845,0,0.3161540206441427,1.0411963625459106
GSM737032,0,0.014305099607906773,0.01474603903660745,0,0.08780831361378964,0.03101408321393451,0,0,0.008009300770967348,0,0,0.05604720288571805,0.03331020514606119,0,0,0.4764124691699444,0.033122844565015325,0.00435039296118191,0.1661250227247858,0,0,0,0.07474902630408761,0,0.3158295768073555,1.042435866136964
GSM737022,0.11973555917029784,0.014161740817515632,0.04679589851781146,0.059105435703656076,0.27332298307103675,0,0,0,0,0.02056739263092443,0.014154334666368175,0.04901118673647882,0,0,0.01717336832367661,0.18086510785840818,0.07334177332823694,0,0.0928694590329518,0,0,0,0.03889576014263737,0,0.13463263535753692,1.0348038332585736
GSM737023,0.03659362523270159,0,0.048542899289941044,0,0.09735914710412258,0,0,0.00967937849122055,0,0.03189846302137387,0,0.08148506977809564,0.03701889554505178,0,0.0021332291751066327,0.2170712064301497,0.0029760037096747474,0.007381974500089047,0.15418005566485887,0,0.030408200139290166,0,0.24327185191832387,0,0.18578300655166805,1.0498062894530447
GSM737024,0.020852427619936272,0,0.022570211012333866,0,0.14313973808705707,0.12853925638985006,0,0,0,0,0,0.12553117908205,0,0,0,0.2866641600358024,0.02195824846839049,0,0.16532427914099818,0,0.006813845472081238,0,0.07860665469150045,0.04,0.09236318829694275,1.0878257091984154
GSM737013,0.04326166543715361,0,0.11167068623491777,0,0.19327210575675244,0,0,0,0,0.10368563181406326,0,0.09562839108211897,0.03914201645304664,0,0,0.22840523726673576,0,0,0.09560746160640242,0,0.016569883925546508,0,0.07275692042326272,0.25,0.045364771112122886,1.0844907773991574
GSM737014,0.03857121220839558,0,0.08205805639816179,0,0.23437435818010108,0,0,0,0.004464158967597503,0.07448899665436112,0,0.07645193448841808,0.0013295783384054901,0,0,0.2689358979413708,0,0,0.13886145335002992,0,0.03177178624379403,0,0.04869256722936471,0.04,0.07708666153960986,1.0802946870797288
GSM737015,0.08679598729762995,0,0.07972976190456037,0,0.16849932552954391,0,0,0,0,0.0517275240125614,0,0.0895136341472543,0.0011800374913317503,0,0,0.2502438472227326,0,0,0.127334977455727,0,0.054965132566814165,0,0.09000977237184465,0.04,0.08447283572935352,1.0735844723031465
GSM737016,0.035118173663855556,0,0.07387939068537422,0,0.2175274299867121,0,0,0,0,0.05151619928894428,0,0.07008384163481728,0,0,0,0.3321821373081023,0,0,0.13305985344290197,0,0.008714297083127698,0,0.07791867690616466,0,0.12068400060875072,1.0811551061033953
GSM737025,0.0001,0,0.04210349931472626,0,0.16276136539487235,0,0,0,0,0,0.003342727797992454,0.03981782534338452,0.02606641720515307,0,0,0.38235130805569684,0.03869118525317502,0.016793510609272824,0.19777007254208936,0,0,0,0.09020330903169485,0,0.18758919733938273,1.0842235971791145
GSM737026,0.008061610576797431,0,0.03935352523981514,0,0.10233111110559151,0.07305079988585532,0,0.03712758270949615,0,0,0,0.07845895377526003,0.027044914437745857,0.008107804704646828,0,0.23953193153531,0.0531172663315324,0,0.1752165207257275,0,0,0,0.15859797897222186,0,0.14999014254140344,1.0578284110311704
GSM737027,0,0,0.11285808915323625,0,0.222166816971487,0,0,0,0,0.08334797043952981,0,0.09511204222951462,0.023859622890486168,0,0,0.2707852357601303,0,0,0.1057680384980188,0,0.011014007897651869,0,0.07508817615994524,0.04,0.07850414530345524,1.0831261260108893
GSM737028,0.058483740753589884,0,0.08942599712889274,0,0.14497608329045428,0,0,0,0,0.09963990716948792,0,0.08552790418824262,0,0,0,0.33353949367244234,0,0,0.120813762477882,0,0.011996860259104104,0,0.05559625105990398,0,0.1229158313752574,1.0783624245055417
GSM737029,0.009206784327565722,0,0.046299567283018275,0,0.041356826131639615,0.07523291703563961,0,0,0,0,0,0.06568317514286352,0,0,0,0.3814957060172017,0.02859026589386247,0.0023222842355214656,0.2445652554100515,0,0,0,0.10524721852263615,0,0.19021977933249096,1.0832858393178737
GSM737017,0.07628602068958429,0,0.07341569197521416,0,0.17031544656665176,0,0,0,0,0.08095340609724694,0,0.0755872201303737,0.024145596612585397,0,0,0.2635428480233949,0.008829624579337895,0,0.1272685642827119,0,0.024382957386172726,0,0.07527262365672623,0,0.12414764486043414,1.0583259088866206
GSM737018,0.03666915255410913,0,0.07913058882854593,0,0.13910567894362338,0.02965905602768485,0,0,0,0,0,0.07174976806394175,0,0,0.0004,0.3062250740688877,0.02623998662118105,0,0.2109100517214104,0,0.004547655021976352,0,0.09534062487529231,0,0.12377011604931196,1.0805649838431928
GSM737019,0.07290246075357724,0,0.0852615627408399,0,0.18841770651605802,0,0,0,0,0.05770509071537199,0,0.09518455943782198,0.0022529906940531893,0,0,0.27114328991945247,0,0,0.12028371220876549,0,0.01792354153588821,0,0.08892508547817157,0.02,0.10437545572784827,1.0679994955021312
GSM737020,0.034061809621671144,0,0.09475423625598063,0,0.1961940211071804,0,0,0,0,0.06516504041743888,0,0.06788747585184252,0,0,0,0.3061384887639798,0.019986414766398473,0,0.13152183520685473,0,0.01540646671361451,0,0.0688842112950389,0,0.1236222262378811,1.0711433218072497
